poz;ad;tip;genislik_cm;derinlik_cm;yukseklik_cm;x_cm;y_cm;aci_derece;ayak_izi_m2
M1;Calisma masasi;Mobilya;160;75;75;283;45;0;1.200
D1;Cift kanatli elbise/evrak dolabi;Mobilya;80;55;185;28;230;-90;0.440
Y1;Yuvarlak gorusme sehpasi (YENI);Mobilya;70;70;55;95;150;0;0.490
S3;Ikinci misafir sandalyesi (YENI);Mobilya;48;54;82;30;148;-90;0.259
S1;Yonetici calisma koltugu;Mobilya;62;62;112;275;118;180;0.384
S2;Misafir sandalyesi (istiflenebilir);Mobilya;48;54;82;95;98;0;0.259
A1;Sag duvar tezgahi (yazici + evrak);Mobilya;130;60;72;340;205;90;0.780
C1;Ayakli askilik;Mobilya;38;38;178;150;22;0;0.144
W1;Pedalli cop kovasi;Mobilya;30;30;42;240;52;0;0.090
E1;24" monitor;Ekipman;55;20;42;318;30;0;0.110
E2;Masaustu bilgisayar;Ekipman;20;45;42;350;38;0;0.090
E3;Klavye;Ekipman;44;15;3;300;64;-8;0.096
E4;Mouse;Ekipman;7;11;4;338;68;-8;0.010
E5;Klasor / not defteri;Ekipman;24;32;3;237;55;-6;0.093
E6;Kalemlik (hasir);Ekipman;11;11;20;268;21;0;0.012
E7;Zimba / kutu;Ekipman;12;7;4;249;23;-8;0.011
E8;Bardak altligi;Ekipman;11;11;1;243;45;0;0.012
E9;Fotokopi / yazici;Ekipman;58;42;44;340;175;90;0.244
E10;Kupa (odul);Ekipman;13;13;27;340;250;0;0.017
X1;Mavi klasor;Esya;8;30;32;10;211;4;0.031
X2;Eski CRT monitor;Esya;34;32;28;29;215;-6;0.131
X3;Kutu oyunu;Esya;30;22;6;29;249;102;0.094
X4;Futbol topu;Esya;22;22;22;200;250;0;0.048
X5;Karton rulo;Esya;38;12;12;230;258;0;0.046
